"DateTime","Total Daily Block Mining Reward [Ether]"
"2017-04-01 00:00:00",29683
"2017-04-02 00:00:00",29283
"2017-04-03 00:00:00",29951
"2017-04-04 00:00:00",29720
"2017-04-05 00:00:00",29987
"2017-04-06 00:00:00",29457
"2017-04-07 00:00:00",29788
"2017-04-08 00:00:00",29733
"2017-04-09 00:00:00",29040
"2017-04-10 00:00:00",28843
"2017-04-11 00:00:00",29297
"2017-04-12 00:00:00",28952
"2017-04-13 00:00:00",29049
"2017-04-14 00:00:00",29603
"2017-04-15 00:00:00",28666
"2017-04-16 00:00:00",29161
"2017-04-17 00:00:00",29364
"2017-04-18 00:00:00",29359
"2017-04-19 00:00:00",28635
"2017-04-20 00:00:00",29344
"2017-04-21 00:00:00",29437
"2017-04-22 00:00:00",29005
"2017-04-23 00:00:00",29371
"2017-04-24 00:00:00",28656
"2017-04-25 00:00:00",29540
"2017-04-26 00:00:00",28235
"2017-04-27 00:00:00",28259
"2017-04-28 00:00:00",28538
"2017-04-29 00:00:00",28177
"2017-04-30 00:00:00",28289
"2017-05-01 00:00:00",28173
"2017-05-02 00:00:00",28153
"2017-05-03 00:00:00",28301
"2017-05-04 00:00:00",28296
"2017-05-05 00:00:00",28433
"2017-05-06 00:00:00",28447
"2017-05-07 00:00:00",28646
"2017-05-08 00:00:00",28253
"2017-05-09 00:00:00",28419
"2017-05-10 00:00:00",28299
"2017-05-11 00:00:00",28562
"2017-05-12 00:00:00",28502
"2017-05-13 00:00:00",28011
"2017-05-14 00:00:00",27063
"2017-05-15 00:00:00",27068
"2017-05-16 00:00:00",27346
"2017-05-17 00:00:00",26678
"2017-05-18 00:00:00",27360
"2017-05-19 00:00:00",27174
"2017-05-20 00:00:00",27496
"2017-05-21 00:00:00",27248
"2017-05-22 00:00:00",27400
"2017-05-23 00:00:00",27158
"2017-05-24 00:00:00",27198
"2017-05-25 00:00:00",27390
"2017-05-26 00:00:00",27524
"2017-05-27 00:00:00",27262
"2017-05-28 00:00:00",27332
"2017-05-29 00:00:00",27965
"2017-05-30 00:00:00",27987
"2017-05-31 00:00:00",27132
"2017-06-01 00:00:00",26452
"2017-06-02 00:00:00",25493
"2017-06-03 00:00:00",26093
"2017-06-04 00:00:00",25861
"2017-06-05 00:00:00",26309
"2017-06-06 00:00:00",26101
"2017-06-07 00:00:00",26261
"2017-06-08 00:00:00",26113
"2017-06-09 00:00:00",26136
"2017-06-10 00:00:00",26723
"2017-06-11 00:00:00",26300
"2017-06-12 00:00:00",26264
"2017-06-13 00:00:00",26440
"2017-06-14 00:00:00",26540
"2017-06-15 00:00:00",26596
"2017-06-16 00:00:00",26750
"2017-06-17 00:00:00",26474
"2017-06-18 00:00:00",26811
"2017-06-19 00:00:00",26752
"2017-06-20 00:00:00",24913
"2017-06-21 00:00:00",24560
"2017-06-22 00:00:00",24795
"2017-06-23 00:00:00",24518
"2017-06-24 00:00:00",24769
"2017-06-25 00:00:00",24702
"2017-06-26 00:00:00",24903
"2017-06-27 00:00:00",25070
"2017-06-28 00:00:00",24881
"2017-06-29 00:00:00",25213
"2017-06-30 00:00:00",25249
"2017-07-01 00:00:00",25113
"2017-07-02 00:00:00",25234
"2017-07-03 00:00:00",25337
"2017-07-04 00:00:00",25471
"2017-07-05 00:00:00",25002
"2017-07-06 00:00:00",25300
"2017-07-07 00:00:00",25498
"2017-07-08 00:00:00",25503
"2017-07-09 00:00:00",25532
"2017-07-10 00:00:00",23030
"2017-07-11 00:00:00",22657
"2017-07-12 00:00:00",22602
"2017-07-13 00:00:00",22610
"2017-07-14 00:00:00",22562
"2017-07-15 00:00:00",23062
"2017-07-16 00:00:00",22922
"2017-07-17 00:00:00",22346
"2017-07-18 00:00:00",22805
"2017-07-19 00:00:00",23239
"2017-07-20 00:00:00",23216
"2017-07-21 00:00:00",22762
"2017-07-22 00:00:00",23289
"2017-07-23 00:00:00",23349
"2017-07-24 00:00:00",22957
"2017-07-25 00:00:00",23482
"2017-07-26 00:00:00",23303
"2017-07-27 00:00:00",23218
"2017-07-28 00:00:00",23295
"2017-07-29 00:00:00",23459
"2017-07-30 00:00:00",23570
"2017-07-31 00:00:00",22732
"2017-08-01 00:00:00",20475
"2017-08-02 00:00:00",20258
"2017-08-03 00:00:00",19924
"2017-08-04 00:00:00",20246
"2017-08-05 00:00:00",20212
"2017-08-06 00:00:00",20206
"2017-08-07 00:00:00",20517
"2017-08-08 00:00:00",20513
"2017-08-09 00:00:00",20613
"2017-08-10 00:00:00",20198
"2017-08-11 00:00:00",20580
"2017-08-12 00:00:00",20618
"2017-08-13 00:00:00",20700
"2017-08-14 00:00:00",20719
"2017-08-15 00:00:00",20721
"2017-08-16 00:00:00",20898
"2017-08-17 00:00:00",20791
"2017-08-18 00:00:00",20744
"2017-08-19 00:00:00",21114
"2017-08-20 00:00:00",20833
"2017-08-21 00:00:00",21228
"2017-08-22 00:00:00",20989
"2017-08-23 00:00:00",21141
