"DateTime","Uncles"
"2017-10-02 00:00:00",223
"2017-10-03 00:00:00",222
"2017-10-04 00:00:00",226
"2017-10-05 00:00:00",189
"2017-10-06 00:00:00",202
"2017-10-07 00:00:00",197
"2017-10-08 00:00:00",205
"2017-10-09 00:00:00",204
"2017-10-10 00:00:00",232
"2017-10-11 00:00:00",235
"2017-10-12 00:00:00",230
"2017-10-13 00:00:00",247
"2017-10-14 00:00:00",225
"2017-10-15 00:00:00",242
"2017-10-16 00:00:00",501
"2017-10-17 00:00:00",865
"2017-10-18 00:00:00",738
"2017-10-19 00:00:00",740
"2017-10-20 00:00:00",759
"2017-10-21 00:00:00",625
"2017-10-22 00:00:00",661
"2017-10-23 00:00:00",734
"2017-10-24 00:00:00",773
"2017-10-25 00:00:00",733
"2017-10-26 00:00:00",744
"2017-10-27 00:00:00",759
"2017-10-28 00:00:00",741
"2017-10-29 00:00:00",737
"2017-10-30 00:00:00",805
"2017-10-31 00:00:00",775
"2017-11-01 00:00:00",772
"2017-11-02 00:00:00",795
"2017-11-03 00:00:00",714
"2017-11-04 00:00:00",686
"2017-11-05 00:00:00",726
"2017-11-06 00:00:00",708
"2017-11-07 00:00:00",759
"2017-11-08 00:00:00",662
"2017-11-09 00:00:00",746
"2017-11-10 00:00:00",697
"2017-11-11 00:00:00",687
"2017-11-12 00:00:00",624
"2017-11-13 00:00:00",742
"2017-11-14 00:00:00",720
"2017-11-15 00:00:00",761
"2017-11-16 00:00:00",752
"2017-11-17 00:00:00",699
"2017-11-18 00:00:00",718
"2017-11-19 00:00:00",695
"2017-11-20 00:00:00",797
"2017-11-21 00:00:00",800
"2017-11-22 00:00:00",751
"2017-11-23 00:00:00",759
"2017-11-24 00:00:00",727
"2017-11-25 00:00:00",732
"2017-11-26 00:00:00",792
"2017-11-27 00:00:00",852
"2017-11-28 00:00:00",860
"2017-11-29 00:00:00",903
"2017-11-30 00:00:00",840
"2017-12-01 00:00:00",882
"2017-12-02 00:00:00",858
"2017-12-03 00:00:00",943
"2017-12-04 00:00:00",1433
"2017-12-05 00:00:00",1627
"2017-12-06 00:00:00",1800
"2017-12-07 00:00:00",1509
"2017-12-08 00:00:00",1282
"2017-12-09 00:00:00",1323
"2017-12-10 00:00:00",1285
"2017-12-11 00:00:00",1288
"2017-12-12 00:00:00",1445
"2017-12-13 00:00:00",1525
"2017-12-14 00:00:00",1550
"2017-12-15 00:00:00",1437
