"DateTime","Gas Limit"
"2016-10-17 00:00:00",500228.6642054036
"2016-10-18 00:00:00",711949.5010622651
"2016-10-19 00:00:00",2828805.7327675787
"2016-10-20 00:00:00",1664953.782629406
"2016-10-21 00:00:00",1173208.7511891094
"2016-10-22 00:00:00",1372709.3335540474
"2016-10-23 00:00:00",1996986.918571667
"2016-10-24 00:00:00",1998764.0435284418
"2016-10-25 00:00:00",1998917.1509621765
"2016-10-26 00:00:00",1998842.4767060368
"2016-10-27 00:00:00",1998836.3815221004
"2016-10-28 00:00:00",1998885.5758034664
"2016-10-29 00:00:00",1998543.6326746647
"2016-10-30 00:00:00",1998636.926720581
"2016-10-31 00:00:00",1998624.7578791857
"2016-11-01 00:00:00",1998594.5432437062
"2016-11-02 00:00:00",1997922.0233534947
"2016-11-03 00:00:00",1998332.314957983
"2016-11-04 00:00:00",1998339.164295393
"2016-11-05 00:00:00",1998236.8128752501
"2016-11-06 00:00:00",1998063.8959365708
"2016-11-07 00:00:00",1998300.9269992083
"2016-11-08 00:00:00",1998280.7397304757
"2016-11-09 00:00:00",1998583.2856178258
"2016-11-10 00:00:00",1998546.1240362052
"2016-11-11 00:00:00",1998224.7011014686
"2016-11-12 00:00:00",1998634.367564903
"2016-11-13 00:00:00",1998593.5615024988
"2016-11-14 00:00:00",1998376.882973463
"2016-11-15 00:00:00",1998511.8553113553
"2016-11-16 00:00:00",1998523.6843672458
"2016-11-17 00:00:00",1998261.246421268
"2016-11-18 00:00:00",1996910.6155191604
"2016-11-19 00:00:00",1995550.982601626
"2016-11-20 00:00:00",1996041.8808868749
"2016-11-21 00:00:00",1996454.8643174707
"2016-11-22 00:00:00",1996712.5606214118
"2016-11-23 00:00:00",2058000.936439952
"2016-11-24 00:00:00",3231356.0013527223
"2016-11-25 00:00:00",3298787.1320569464
"2016-11-26 00:00:00",3298861.5597844394
"2016-11-27 00:00:00",3298404.1648444072
"2016-11-28 00:00:00",3298533.1769281696
"2016-11-29 00:00:00",3298766.818971276
"2016-11-30 00:00:00",3292213.0686355387
"2016-12-01 00:00:00",3291368.8971438007
"2016-12-02 00:00:00",3290824.5703703705
"2016-12-03 00:00:00",3289942.868831169
"2016-12-04 00:00:00",3291815.196389771
"2016-12-05 00:00:00",3940275.7636575615
"2016-12-06 00:00:00",3997474.257513549
"2016-12-07 00:00:00",4001918.6528898403
"2016-12-08 00:00:00",4004655.494530612
"2016-12-09 00:00:00",4005072.4821487605
"2016-12-10 00:00:00",4005305.1279012347
"2016-12-11 00:00:00",4005567.1400459167
"2016-12-12 00:00:00",4009583.7837972995
"2016-12-13 00:00:00",4009416.4080724875
"2016-12-14 00:00:00",4009715.957730263
"2016-12-15 00:00:00",4009838.1528078653
"2016-12-16 00:00:00",4009511.16526749
"2016-12-17 00:00:00",4005821.657619359
"2016-12-18 00:00:00",4004161.534612861
"2016-12-19 00:00:00",4004402.635112732
"2016-12-20 00:00:00",4007689.374691053
"2016-12-21 00:00:00",4006027.561943987
"2016-12-22 00:00:00",4004726.4934519813
"2016-12-23 00:00:00",4004899.548874706
"2016-12-24 00:00:00",4004463.360972361
"2016-12-25 00:00:00",4003127.0502692997
"2016-12-26 00:00:00",4003373.6125947908
"2016-12-27 00:00:00",4002849.647715905
"2016-12-28 00:00:00",4003053.042272127
"2016-12-29 00:00:00",4002460.8092732653
"2016-12-30 00:00:00",4002872.3935345537
"2016-12-31 00:00:00",4004206.39028867
"2017-01-01 00:00:00",4003720.6030109636
"2017-01-02 00:00:00",4003169.8620006605
"2017-01-03 00:00:00",4003690.965865783
"2017-01-04 00:00:00",4003864.7218694026
"2017-01-05 00:00:00",4004149.3124281727
"2017-01-06 00:00:00",4005025.3651189883
"2017-01-07 00:00:00",4004701.836280288
"2017-01-08 00:00:00",4005468.417352651
"2017-01-09 00:00:00",4006857.1525813877
"2017-01-10 00:00:00",4005026.85721393
"2017-01-11 00:00:00",4004262.307094427
"2017-01-12 00:00:00",4006129.013044914
"2017-01-13 00:00:00",4005517.3028169014
"2017-01-14 00:00:00",4004956.580847206
"2017-01-15 00:00:00",4005894.3631881676
"2017-01-16 00:00:00",4006936.8141110376
"2017-01-17 00:00:00",4006201.9826724427
"2017-01-18 00:00:00",4006301.1726298435
"2017-01-19 00:00:00",4007572.052452095
"2017-01-20 00:00:00",4005776.901559618
"2017-01-21 00:00:00",4006026.6114786635
"2017-01-22 00:00:00",4006624.2023083265
"2017-01-23 00:00:00",4006744.772156085
"2017-01-24 00:00:00",4005863.794765612
"2017-01-25 00:00:00",4005700.3702163063
"2017-01-26 00:00:00",4005422.304061832
"2017-01-27 00:00:00",4003948.95304929
"2017-01-28 00:00:00",4004606.607455055
"2017-01-29 00:00:00",4004869.597818792
"2017-01-30 00:00:00",4004125.232523794
"2017-01-31 00:00:00",4004744.990860751
"2017-02-01 00:00:00",4003617.4681311366
"2017-02-02 00:00:00",4003883.7841905076
"2017-02-03 00:00:00",4004827.009015025
"2017-02-04 00:00:00",4006632.0839091805
"2017-02-05 00:00:00",4004401.635675498
"2017-02-06 00:00:00",4006341.5867768596
"2017-02-07 00:00:00",4006043.0430143382
"2017-02-08 00:00:00",4006690.4870611504
"2017-02-09 00:00:00",4005920.684856527
"2017-02-10 00:00:00",4005894.9216887415
"2017-02-11 00:00:00",4005831.033123551
"2017-02-12 00:00:00",4005819.026406998
"2017-02-13 00:00:00",4006653.673476112
"2017-02-14 00:00:00",4006662.7182467207
"2017-02-15 00:00:00",4009525.929380851
"2017-02-16 00:00:00",4009224.0781559814
"2017-02-17 00:00:00",4006903.391051231
"2017-02-18 00:00:00",4006474.7634605765
"2017-02-19 00:00:00",4007043.6474497425
"2017-02-20 00:00:00",4006902.541479634
"2017-02-21 00:00:00",4007975.583608724
"2017-02-22 00:00:00",4008022.0117292227
"2017-02-23 00:00:00",4009035.730187739
"2017-02-24 00:00:00",4010179.61853269
"2017-02-25 00:00:00",4009200.011922504
"2017-02-26 00:00:00",4012614.5679093446
"2017-02-27 00:00:00",4022845.5419171676
"2017-02-28 00:00:00",4028698.8698215163
"2017-03-01 00:00:00",4019976.8390399464
"2017-03-02 00:00:00",4020482.5921465103
"2017-03-03 00:00:00",4017086.327672328
"2017-03-04 00:00:00",4012778.5343358396
"2017-03-05 00:00:00",4008077.1608760087
"2017-03-06 00:00:00",4011585.883219006
"2017-03-07 00:00:00",4006043.5170625625
"2017-03-08 00:00:00",4006902.2365359045
"2017-03-09 00:00:00",4011403.6145411604
"2017-03-10 00:00:00",4009536.143289098
"2017-03-11 00:00:00",4011521.2590803066
"2017-03-12 00:00:00",4008334.735090387
"2017-03-13 00:00:00",4013969.6832781457
"2017-03-14 00:00:00",4011297.777554102
