"DateTime","Accounts"
"2017-02-06 00:00:00",1106040
"2017-02-07 00:00:00",1108250
"2017-02-08 00:00:00",1110799
"2017-02-09 00:00:00",1112711
"2017-02-10 00:00:00",1114771
"2017-02-11 00:00:00",1116707
"2017-02-12 00:00:00",1119341
"2017-02-13 00:00:00",1121540
"2017-02-14 00:00:00",1124356
"2017-02-15 00:00:00",1127133
"2017-02-16 00:00:00",1129266
"2017-02-17 00:00:00",1131365
"2017-02-18 00:00:00",1134323
"2017-02-19 00:00:00",1136358
"2017-02-20 00:00:00",1138839
"2017-02-21 00:00:00",1141850
"2017-02-22 00:00:00",1144199
"2017-02-23 00:00:00",1146516
"2017-02-24 00:00:00",1149203
"2017-02-25 00:00:00",1151538
"2017-02-26 00:00:00",1154052
"2017-02-27 00:00:00",1157238
"2017-02-28 00:00:00",1161752
"2017-03-01 00:00:00",1168781
"2017-03-02 00:00:00",1175263
"2017-03-03 00:00:00",1182102
"2017-03-04 00:00:00",1186413
"2017-03-05 00:00:00",1190507
"2017-03-06 00:00:00",1195155
"2017-03-07 00:00:00",1198987
"2017-03-08 00:00:00",1203266
"2017-03-09 00:00:00",1209876
"2017-03-10 00:00:00",1216006
"2017-03-11 00:00:00",1221955
"2017-03-12 00:00:00",1229319
"2017-03-13 00:00:00",1241216
"2017-03-14 00:00:00",1250864
"2017-03-15 00:00:00",1261389
"2017-03-16 00:00:00",1279085
"2017-03-17 00:00:00",1294833
"2017-03-18 00:00:00",1306782
"2017-03-19 00:00:00",1315431
"2017-03-20 00:00:00",1324653
"2017-03-21 00:00:00",1334762
"2017-03-22 00:00:00",1343031
"2017-03-23 00:00:00",1351028
"2017-03-24 00:00:00",1362444
"2017-03-25 00:00:00",1371998
"2017-03-26 00:00:00",1379343
"2017-03-27 00:00:00",1391170
"2017-03-28 00:00:00",1400150
"2017-03-29 00:00:00",1409083
"2017-03-30 00:00:00",1423396
"2017-03-31 00:00:00",1437752
"2017-04-01 00:00:00",1445458
"2017-04-02 00:00:00",1455753
"2017-04-03 00:00:00",1468691
"2017-04-04 00:00:00",1478914
"2017-04-05 00:00:00",1489206
"2017-04-06 00:00:00",1502986
"2017-04-07 00:00:00",1511170
"2017-04-08 00:00:00",1517893
"2017-04-09 00:00:00",1523882
"2017-04-10 00:00:00",1530902
"2017-04-11 00:00:00",1537047
"2017-04-12 00:00:00",1547268
"2017-04-13 00:00:00",1555705
"2017-04-14 00:00:00",1562792
"2017-04-15 00:00:00",1569377
