bitcoin 	Internet archive continues to accept and expand accepting crypto for donations (now it's taking BTC, BCH, ZEC, ETH). Donation link here: https:// archive.org/donate/bitcoin .php … https:// twitter.com/internetarchiv e/status/959640651024314368 …	VitalikButerin	1804	542	1517901966	960776599795879936	https://twitter.com/VitalikButerin/status/960776599795879936			
	AI-Human Collaboration and the Future of Work http:// bit.ly/2DxQ755 HT @DeepLearn007 #AI #MachineLearning #Futureofwork #TechTrends #BigData #MarTech #WEF18 @ipfconline1 @pierrepinna @Fisher85M @psb_dc pic.twitter.com/OJ232JU5ro	JimMarous	16	22	1517911380	960816085581758464	https://twitter.com/JimMarous/status/960816085581758464		#AI #MachineLearning #Futureofwork #TechTrends #BigData #MarTech #WEF18	@DeepLearn007 @ipfconline1 @pierrepinna @Fisher85M @psb_dc
	How #AI And #Bots are Shaping the #Banking Experience http:// bit.ly/2xgeuBv #MachineLearning #tech #digital #BigData HT @DeepLearn007 pic.twitter.com/bIIHCLqKoG	JimMarous	15	16	1517909160	960806773354582016	https://twitter.com/JimMarous/status/960806773354582016		#AI #Bots #Banking #MachineLearning #tech #digital #BigData	@DeepLearn007
	Five big challenges to AI adoption and success http:// bit.ly/2DunkOV #AI #MachineLearning #BigData #TechTrends #Analytics @DeepLearn007 @ipfconline1 @psb_dc @BourseetTrading @helene_wpli pic.twitter.com/AqAE7wfFSz	JimMarous	19	23	1517908140	960802495114067968	https://twitter.com/JimMarous/status/960802495114067968		#AI #MachineLearning #BigData #TechTrends #Analytics	@DeepLearn007 @ipfconline1 @psb_dc @BourseetTrading @helene_wpli
	6 Key Requirements For #IOT Success http:// bit.ly/2DoieUh HT @Shirastweet #InternetOfThings #TechTrends #BigData #DataAnalytics #MachineLearning #AI @Datawatch @DeepLearn007 @pierrepinna @MikeQuindazzi @evankirstel @SpirosMargaris @BrettKing @KirkDBorne pic.twitter.com/ZuywhuLpk9	JimMarous	29	20	1517904466	960787084700250113	https://twitter.com/JimMarous/status/960787084700250113		#IOT #InternetOfThings #TechTrends #BigData #DataAnalytics #MachineLearning #AI	@Shirastweet @Datawatch @DeepLearn007 @pierrepinna @MikeQuindazzi @evankirstel @SpirosMargaris @BrettKing @KirkDBorne
	[Please RT] Over 175+ FREE @FinancialBrand Charts For Banks and Credit Unions http:// bit.ly/2E4B4QY @banking #fintech #TechTrends #AI #BigData #Innovation @DeepLearn007 @ipfconline1 @helene_wpli @BrettKing @jblefevre60 @leimer @TamaraMcCleary @Fisher85M @psb_dc @Shirastweet pic.twitter.com/DxliHKFMgV	JimMarous	31	23	1517904300	960786389557235712	https://twitter.com/JimMarous/status/960786389557235712		#fintech #TechTrends #AI #BigData #Innovation	@FinancialBrand @banking @DeepLearn007 @ipfconline1 @helene_wpli @BrettKing @jblefevre60 @leimer @TamaraMcCleary @Fisher85M @psb_dc @Shirastweet
	How to Get Branch Design Right in Digital Age. http:// bit.ly/2Eo9tNK #banking #fintech #digital #TechTrends #branchbanking @FinancialBrand @BourseetTrading @jblefevre60 @dmgerbino @psb_dc @uxdesignagency pic.twitter.com/hZME87lyCM	JimMarous	21	21	1517900520	960770534748270593	https://twitter.com/JimMarous/status/960770534748270593		#banking #fintech #digital #TechTrends #branchbanking	@FinancialBrand @BourseetTrading @jblefevre60 @dmgerbino @psb_dc @uxdesignagency
	Intelligent Banking Organizations Will Destroy Slow Responders. http:// bit.ly/2E5y0Uy #banking #fintech #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @pierrepinna @FinancialBrand @Fisher85M @SpirosMargaris @MikeQuindazzi @BrettKing @leimer pic.twitter.com/IUFHRshD2z	JimMarous	33	49	1517894040	960743356652339202	https://twitter.com/JimMarous/status/960743356652339202		#banking #fintech #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @pierrepinna @FinancialBrand @Fisher85M @SpirosMargaris @MikeQuindazzi @BrettKing @leimer
	Will the US Government create and distribute a “Digital Dollar” token, before the end 2020?	VinnyLingham	47	24	1517956163	961003918229671936	https://twitter.com/VinnyLingham/status/961003918229671936			
	Awesome progress on creating security tokens! Congrats @DavidSacks & @westcoastbill https:// twitter.com/davidsacks/sta tus/960941839552430081 …	VinnyLingham	95	18	1517944675	960955735881519104	https://twitter.com/VinnyLingham/status/960955735881519104			@DavidSacks @westcoastbill
	How do you think KYC regulations will be enforced?	VinnyLingham	1	0	1517943506	960950833620889601	https://twitter.com/VinnyLingham/status/960950833620889601			
	Scam account	VinnyLingham	0	0	1517934437	960912792458063872	https://twitter.com/VinnyLingham/status/960912792458063872			
	This is a real cryptologist ;) pic.twitter.com/dgLi5JAsOq	VinnyLingham	10	1	1517932079	960902902968709121	https://twitter.com/VinnyLingham/status/960902902968709121			
	True story! https:// twitter.com/nathanielpoppe r/status/960901682941972480 …	VinnyLingham	91	12	1517931910	960902193124724736	https://twitter.com/VinnyLingham/status/960902193124724736			
	Regulations are coming. No matter how thoughtful. https:// twitter.com/jerrybrito/sta tus/960896219353702400 …	VinnyLingham	289	75	1517931720	960901395405828097	https://twitter.com/VinnyLingham/status/960901395405828097			
	Lol. Just being philosophical.	VinnyLingham	1	0	1517929023	960890086446587904	https://twitter.com/VinnyLingham/status/960890086446587904			
	The company you want to start, is the one that you’ll still be excited to tell people about after you’ve failed, not only if you succeeded. If you don’t think you’ll be equally proud of trying and failing, than just of success, you’re probably starting it for the wrong reasons...	VinnyLingham	937	245	1517898980	960764075432185856	https://twitter.com/VinnyLingham/status/960764075432185856			
	My week on Twitter : 2.46K Mentions, 678K Mention Reach, 12.1K Likes, 2.54K Retweets, 1.09K Replies. See yours with https:// sumall.com/performancetwe et?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=593afd86b1a9b4ca3df85834 … pic.twitter.com/5plYMq9TM0	VinnyLingham	27	2	1517889611	960724779740422144	https://twitter.com/VinnyLingham/status/960724779740422144			
	I wasn’t calling the bottom...	VinnyLingham	1	1	1517879862	960683889629986817	https://twitter.com/VinnyLingham/status/960683889629986817			
	Nope. I’m done with being the sacrificial lamb	VinnyLingham	55	0	1517879416	960682016890064896	https://twitter.com/VinnyLingham/status/960682016890064896			
	And a dictionary...	VinnyLingham	0	0	1517879147	960680889687699458	https://twitter.com/VinnyLingham/status/960680889687699458			
bitcoin 	As impressive as this Bitcoin “bubble” was, after the ensuing recovery, which could take many months, the next Bitcoin run that breaks past $20k will be majestic...	VinnyLingham	1766	364	1517879124	960680791884947458	https://twitter.com/VinnyLingham/status/960680791884947458			
	And that all the partners are crypto permabulls	VinnyLingham	7	0	1517871640	960649403668279310	https://twitter.com/VinnyLingham/status/960649403668279310			
litecoin 	cool. Can you turn the cash into litecoin?	SatoshiLite	24	2	1517955463	961000981705060352	https://twitter.com/SatoshiLite/status/961000981705060352			
	I have yet had time to watch the whole thing yet. So I'm not about to comment on it just to create bullishness for the sake of that.	SatoshiLite	55	1	1517952254	960987521583738880	https://twitter.com/SatoshiLite/status/960987521583738880			
	I earn 20 cents each time!	SatoshiLite	65	2	1517951780	960985536671305728	https://twitter.com/SatoshiLite/status/960985536671305728			
	LMAO pic.twitter.com/z5X9R9IkKe	SatoshiLite	1506	141	1517951030	960982389127196673	https://twitter.com/SatoshiLite/status/960982389127196673			
	This guy at the senate hearing looks suspiciously like my profile pic. It's not me... I swear! https:// twitter.com/thecryptojew/s tatus/960915941344366592 …	SatoshiLite	4548	799	1517939487	960933974305472513	https://twitter.com/SatoshiLite/status/960933974305472513			
	lambo lambo lambo!	SatoshiLite	33	8	1517939138	960932512162861056	https://twitter.com/SatoshiLite/status/960932512162861056			
	Prove it	SatoshiLite	7	2	1517928147	960886412093530112	https://twitter.com/SatoshiLite/status/960886412093530112			
	Awesome! Looking forward to it.	SatoshiLite	27	2	1517928072	960886094890872832	https://twitter.com/SatoshiLite/status/960886094890872832			
	Haha, there you go. No feelings hurt.	SatoshiLite	16	1	1517927746	960884730114658304	https://twitter.com/SatoshiLite/status/960884730114658304			
	Hey be nice, we all start off as shitcoins. Lol	SatoshiLite	43	2	1517926556	960879739635298305	https://twitter.com/SatoshiLite/status/960879739635298305			
	Thanks	SatoshiLite	5	1	1517926531	960879633276190720	https://twitter.com/SatoshiLite/status/960879633276190720			
