currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
	I quite enjoyed reading this piece on Whisper and what was developed further after its inception and mapping out and development of the ideas behind this protocol. Hopefully @ web3foundation, @ ParityTech and the community continue along this path. Future innovators welcomed!https://twitter.com/cryptowanderer/status/1007664297328234496 …	gavofyork	34	7	1529081552	1007667180606025729	https://twitter.com/gavofyork/status/1007667180606025729			@ @	0.07	0.3396	0
	True decentralized cryptocurrencies are a new thing, and demand a new regulatory paradigm. https://www.bloombergquint.com/view/2018/06/15/the-sec-will-leave-good-icos-alone … via @ BloombergQuint	valeryvavilov	10	5	1529080839	1007664191497523200	https://twitter.com/valeryvavilov/status/1007664191497523200			@	0.24	0.1591	0
bitcoin 	How I got into Bitcoin-speech at Decentralize. https://www.youtube.com/watch?v=oAspoH8WLuY&index=4&list=PLz7O3PrlunotIXHb8tkqu_K7qBs_3flgR&t=0s …https://www.youtube.com/watch?v=oAspoH8WLuY&index=4&list=PLz7O3PrlunotIXHb8tkqu_K7qBs_3flgR&t=0s …	TimDraper	104	31	1529024679	1007428638822813703	https://twitter.com/TimDraper/status/1007428638822813703				0.00	0.0	0
bitcoin 	I see Relative Strength as a contrarian indicator. Add when it is < 20 (overreaction to bad news and sentiment). Reduce when it is > 80. It is something that worked well in the stock market for me the last 20 years. It takes nerves to buy weakness and sell strength # Bitcoin $ BTC.pic.twitter.com/sl7qBXsx5Q	RonnieMoas	267	73	1529056294	1007561242385448960	https://twitter.com/RonnieMoas/status/1007561242385448960		#		0.16	0.045	0
	Moral of the story... don't piss away your ideals just because you're consumed by hate for the competition.https://twitter.com/CryptoHustle/status/1007706317912444930 …	CryptoHustle	33	7	1529091090	1007707186682847232	https://twitter.com/CryptoHustle/status/1007707186682847232				0.17	-0.0818	0
	I think $ BTC is the purest cryptocurrency there is... created out of benevolence without regard for fame or fortune. That said, begging for state intervention and fighting for a crypto monopoly contradicts the free market and the nature of open-source technology.https://twitter.com/CryptoHustle/status/1007704942944161793 …	CryptoHustle	117	19	1529090883	1007706317912444930	https://twitter.com/CryptoHustle/status/1007706317912444930				0.19	0.0546	0
ethereum 	"My thoughts on the recent $ ETH ruling.. It was an ICO that was completely dependant on the work of a small group + decisions like the DAO hard fork add elements of centralization. Yet it's ironic how ""anarchist"" BTC maximalists would cry for more statism cause they hate Ethereum"	CryptoHustle	95	7	1529090555	1007704942944161793	https://twitter.com/CryptoHustle/status/1007704942944161793				-0.18	-0.1781	0
	It's also ironic how the biggest FUD of 2017 was the remedy that would save people's portfolio. # ContrarianMindsethttps://twitter.com/CryptoHustle/status/1007648975627878402 …	CryptoHustle	25	4	1529077575	1007650503776456704	https://twitter.com/CryptoHustle/status/1007650503776456704		#		-0.32	-0.0171	0
	My desire is capitulation to at least $5K (cheap coins = more $$) but there's a chance we continue bouncing off support. Price is low enough that I scaled into some positions today with plenty of ammo to average down on my own blood Regardless, I'll get my bounce # CryptoMasochismhttps://twitter.com/CryptoHustle/status/1006565261674188800 …	CryptoHustle	143	11	1529030068	1007451241360904192	https://twitter.com/CryptoHustle/status/1007451241360904192		#		0.29	0.2556	0
	And the prize for best performing shitcoin of 2018 goes to.... # Tether $ USDThttps://twitter.com/CryptoHustle/status/959890889748418560 …	CryptoHustle	100	9	1529027462	1007440314385170432	https://twitter.com/CryptoHustle/status/1007440314385170432		#		0.93	0.8176	0
