bitcoin 	Internet archive continues to accept and expand accepting crypto for donations (now it's taking BTC, BCH, ZEC, ETH). Donation link here: https:// archive.org/donate/bitcoin .php … https:// twitter.com/internetarchiv e/status/959640651024314368 …	VitalikButerin	1804	542	2018-02-06 08:26:06	960776599795879936	https://twitter.com/VitalikButerin/status/960776599795879936			
	This is a real cryptologist ;) pic.twitter.com/dgLi5JAsOq	VinnyLingham	10	1	2018-02-06 16:47:59	960902902968709121	https://twitter.com/VinnyLingham/status/960902902968709121			
	True story! https:// twitter.com/nathanielpoppe r/status/960901682941972480 …	VinnyLingham	91	12	2018-02-06 16:45:10	960902193124724736	https://twitter.com/VinnyLingham/status/960902193124724736			
	Regulations are coming. No matter how thoughtful. https:// twitter.com/jerrybrito/sta tus/960896219353702400 …	VinnyLingham	289	75	2018-02-06 16:42:00	960901395405828097	https://twitter.com/VinnyLingham/status/960901395405828097			
	Lol. Just being philosophical.	VinnyLingham	1	0	2018-02-06 15:57:03	960890086446587904	https://twitter.com/VinnyLingham/status/960890086446587904			
	The company you want to start, is the one that you’ll still be excited to tell people about after you’ve failed, not only if you succeeded. If you don’t think you’ll be equally proud of trying and failing, than just of success, you’re probably starting it for the wrong reasons...	VinnyLingham	937	245	2018-02-06 07:36:20	960764075432185856	https://twitter.com/VinnyLingham/status/960764075432185856			
	My week on Twitter : 2.46K Mentions, 678K Mention Reach, 12.1K Likes, 2.54K Retweets, 1.09K Replies. See yours with https:// sumall.com/performancetwe et?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=593afd86b1a9b4ca3df85834 … pic.twitter.com/5plYMq9TM0	VinnyLingham	27	2	2018-02-06 05:00:11	960724779740422144	https://twitter.com/VinnyLingham/status/960724779740422144			
	I wasn’t calling the bottom...	VinnyLingham	1	1	2018-02-06 02:17:42	960683889629986817	https://twitter.com/VinnyLingham/status/960683889629986817			
	Nope. I’m done with being the sacrificial lamb	VinnyLingham	55	0	2018-02-06 02:10:16	960682016890064896	https://twitter.com/VinnyLingham/status/960682016890064896			
	And a dictionary...	VinnyLingham	0	0	2018-02-06 02:05:47	960680889687699458	https://twitter.com/VinnyLingham/status/960680889687699458			
bitcoin 	As impressive as this Bitcoin “bubble” was, after the ensuing recovery, which could take many months, the next Bitcoin run that breaks past $20k will be majestic...	VinnyLingham	1766	364	2018-02-06 02:05:24	960680791884947458	https://twitter.com/VinnyLingham/status/960680791884947458			
